Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 1,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,ACAL-12---,AP CALCULUS AB 12 external credential,Mathematics,,,Regular,29,,29,,29,,1.0
,,,,,,,,0,,,,,
,ACSC-2A---,AP COMPUTER SCIENCE A 12,Information Tech,,,Regular,23,,29,,24,,1.0
,,,,,,,,6,,,,,
,AELC-12---,AP ENGLISH LITERATURE & COMPOSITION 12,English,,,Regular,24,,24,,24,,2.0
,,,,,,,,0,,,,,
,APHM-12---,AP PHYSICS C (MECHANICS) 12 external credential,Sciences,,,Regular,24,,24,,23,,1.0
,,,,,,,,0,,,,,
,MAC--11---,ACCOUNTING 11,Business Education,,,Regular,42,,74,,29,,3.0
,,,,,,,,32,,,,,
,MACC-12---,ACCOUNTING 12,Business Education,,,Regular,21,,31,,29,,2.0
,,,,,,,,10,,,,,
,MACLV11---,ACTIVE LIVING 11,Physical Education,,,Regular,26,,30,,29,,2.0
,,,,,,,,4,,,,,
,MACLV11G--,ACTIVE LIVING 11 Girls,Physical Education,,,Regular,18,,26,,29,,1.0
,,,,,,,,8,,,,,
,MACLV12---,ACTIVE LIVING 12,Physical Education,,,Regular,29,,38,,29,,2.0
,,,,,,,,9,,,,,
,MACLV12G--,ACTIVE LIVING 12 Girls,Physical Education,,,Regular,8,,11,,29,,1.0
,,,,,,,,3,,,,,
,MADD-09---,ADST - Drafting 9,Applied Skills,,,Regular,40,,78,,24,,5.0
,,,,,,,,38,,,,,
,MADEM10---,ADST – ENTREPRENEURSHIP AND MARKETING 10,Applied Skills,,,Regular,109,,155,,29,,4.0
,,,,,,,,46,,,,,
,MADER09---,ADST - Electronics and Robotics,Applied Skills,,,Regular,42,,69,,24,,3.0
,,,,,,,,27,,,,,
,MADGE09---,ADST 9 - General Explorations (Modules),Applied Skills,,,Regular,8,,21,,21,,1.0
,,,,,,,,13,,,,,
,MADGE09D--,ADST 9 - General Exploratns Design Innov & Inquiry,Applied Skills,,,Regular,21,,45,,24,,1.0
,,,,,,,,24,,,,,
,MADIT09---,ADST-Information and Communications Technologies 9,Applied Skills,,,Regular,84,,103,,24,,5.0
,,,,,,,,19,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
